title,location,description,price per year,number of bedrooms,number of bathrooms,number of toilets
3 BEDROOM TERRACE FOR RENT,Lekki Scheme 2 Ajah Lagos,3 Bedroom Terrace With 1bq,"3,000,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Agungi Agungi Lekki Lagos,5bedroom Semi Detached Duplex,"8,000,000",5.0,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Off Freedom Way Lekki Phase 1 Lekki Lagos,Fully Furnished 3 Bedroom Maisonette Apartment,"10,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Ikota Gra Estate Ikota Lekki Lagos,Beautiful 4 Bedroom Semidetached Duplex With Bq,"4,000,000",4.0,4.0,5.0
2 BEDROOM MINI FLAT FOR RENT,"2 Bedroom Flat All En Suite.. Total Of 3 Flats But Only One Flat Available . Each Tenant Has 3 Phase Meter To Himself, Gp Water Tank Attached To Your Flat Only, A Pumping Machine To Attached To Your Flat . In Addition, You Have Your Car Packing Space And Abijo Ajah Lagos",2 Bedroom Flat For Rent,"1,300,000",2.0,3.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Ogombo Ajah Lagos,Well Finished & Newly Built Two (2) Bedroom Flat,"1,900,000",2.0,2.0,3.0
LAND FOR RENT,Dape District Dape Abuja Phase 3 Abuja,Beautiful 715sqm Dape Land,"14,000,000",,,
3 BEDROOM FLAT & APARTMENT FOR RENT,Lagos Victoria Island Victoria Island Lagos,"Luxury 3 Bedroom Apartment With Swimming Pool, Gym, Cinema And A Rooftop Lounge.","10,000,000",3.0,3.0,3.0
1 BEDROOM MINI FLAT FOR RENT,Agungi Lekki Agungi Lekki Lagos,A Room And Parlour Mini Flat Brand New House,"2,000,000",1.0,2.0,3.0
1 BEDROOM MINI FLAT For Rent,65 Agungi Ajiran Road Agungi Lekki Lagos,Monthly Rental 1 Bedroom Flat,"4,000,000",,,
OFFICE FOR RENT,Pc 31 Churchgate Street Victoria Island Victoria Island Lagos,Grade A Commercial Office Space In Victoria Island,"150,000/sqm",,1.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Lagos Victoria Island Victoria Island Lagos,"Luxury 2 Bedroom Apartment With Swimming Pool, Gym And A Rooftop Lounge.","8,000,000",3.0,3.0,3.0
OFFICE FOR RENT,"World Trade Center, 21113 Constitution Avenue Central Area Abuja Phase 1 Abuja",Grade A Office Space In World Trade Center Abuja,700/sqm,,,10.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,Spacious 4 Bedroom Terrace Duplex With Bq,"11,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase1 Lagos Lekki Phase 1 Lekki Lagos,Newly Built 4 Bedroom Detached Duplex Lekki Phase1 Lagos,"10,000,000",4.0,4.0,4.0
OFFICE FOR RENT,"Constitution Ave, Central Business Dis 900103, Abuja, Central Business District, Abuja Central Area Abuja Phase 1 Abuja",Corporate Office Space In Central District Abuja,"150,000/sqm",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Peace Estate Maryland Lagos Maryland Ikeja Lagos,Smart Bee And Furnished 2 Bedrooms Apartments In Maryland Estate Lagos,"8,000,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,Self Serviced 4 Bedroom Terrace Duplex,"6,500,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,4 Bedroom Semi Detached Duplex,"6,500,000",4.0,4.0,4.0
6 BEDROOM DUPLEX For Sale,Apo Zone D Apo Abuja Phase 2,Massive 6 Bedroom Detached Duplex With Excellent Finishing,"80,000,000",4.0,4.0,4.0
5 BEDROOM DUPLEX FOR RENT,Osapa London Osapa London Lekki Lagos,5 Bedroom Terrace Duplex,"5,000,000",5.0,5.0,6.0
5 BEDROOM DUPLEX FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,5 Bedroom Semi Detached Duplex With Bq.,"7,000,000",5.0,6.0,6.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,Tasteful 4 Bedroom Duplex With Bq,"10,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lekki Lagos Lekki Phase 1 Lekki Lagos,4 Bedroom Terrace Duplex,"8,000,000",4.0,4.0,4.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase1 Right Hand Side Oniru Lekki Phase 1 Lekki Lagos,Fully Furnished 3 Bedroom Apartment Flat For Rent Lekki Oniru,"8,000,000",3.0,3.0,4.0
5 BEDROOM TERRACE FOR RENT,Lekki Right Hand Side Oniru Lagos Lekki Phase 1 Lekki Lagos,5 Bedroom Terrace Duplex Plus Bq With Swimming Pool,"10,000,000",5.0,6.0,6.0
1 BEDROOM MINI FLAT FOR RENT,Osapa London Osapa Lekki Lagos,A Room And Parlour Mini Flat Osapa London,"2,500,000",1.0,1.0,2.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Osapa London Agungi Osapa London Lekki Lagos,3 Bedroom Flat For Rent In Osapa London,"4,000,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,Newly Built 4 Bedroom Semi Detached Duplex,"7,500,000",4.0,4.0,5.0
1 BEDROOM MINI FLAT FOR RENT,Ilasan Ilasan Lekki Lagos,A Room And Parlour Mini Flat For Rent In Ilasan,"2,200,000",1.0,1.0,2.0
4 BEDROOM TERRACE FOR RENT,Lekki Phase1 Right Hand Side Oniru Lekki Phase 1 Lekki Lagos,4 Bedroom Terrace Duplex With Bq And Swimming Pool Lekki Right Hand Side,"6,000,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun",Brand New 3 Bedroom Serviced Apartments With Maid's Room,"15,000,000",3.0,3.0,4.0
1 BEDROOM SELF CONTAIN FOR RENT,Agungi Lekki Close Pinnock Beach Agungi Lekki Lagos,A Room Selfcontain Contain Apartment Now Available,"600,000",1.0,1.0,1.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Eko Atlantic City Eko Atlantic Victoria Island Lagos,Luxurious Unfurnished 4 Bedroom Eko Atlantic,"75,000",4.0,,
4 BEDROOM DUPLEX FOR RENT,Osapa Lekki Lagos,Fully Furnished 4 Bedroom Semi Detached Duplex In A Fully Serviced Estate,"13,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Ikoyi Lagos,Luxury 3 Bedroom Apartment Plus Bq,"9,500,000",3.0,3.0,4.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Ikate Elegushi Lekki Lagos,Tastefully Furnished 2bedrooms Apartment,"5,700,000",2.0,2.0,3.0
4 BEDROOM DUPLEX FOR RENT,Ikoyi Ikoyi Ikoyi Lagos,New 4 Bedroom Semi Detached House + Bqin A Mini Estate,"20,000,000",4.0,4.0,5.0
