title,location,description,price per year,number of bedrooms,number of bathrooms,number of toilets
SHARED APARTMENT FOR RENT,"Grace Court, By Victoria Bay Road Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos",Semi Master Bedroom In Shared Apartment,"900,000",0.0,1.0,1.0
SHARED APARTMENT FOR RENT,"Can Daniels Estate, Orchid Road, Lekki Lagos Lekki Phase 2 Lekki Lagos",A Room Upstairs In A Shared Apartment In Van Daniels,"750,000",0.0,1.0,1.0
3 BEDROOM DUPLEX FOR RENT,Alara Street Onike Onike Yaba Lagos,Decent & Spacious 3bedroom Semi Detached Duplex,"2,200,000",3.0,2.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Gated Estate Cement Beside Ikeja Mangoro Ikeja Lagos,Executive Luxury 2bedroom In A Gated Estate,"1,000,000",2.0,3.0,3.0
4 BEDROOM HOUSE FOR RENT,Lekki Lagos,4 Bedroom Semi Detached Duplex,"3,500,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,3 Bedroom Flat,"5,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,Neatly Built 4bedroom Duplex,"8,000,000",4.0,5.0,5.0
4 BEDROOM HOUSE FOR RENT,Oniru Victoria Island Lagos,Exquisitely Built 4 Bedroom Mansionette With Bq,"10,000,000",4.0,0.0,0.0
SHOP FOR RENT,Orchid Road Eleganza Bustop Lekki Lagos Lekki Phase 2 Lekki Lagos,Shop Space,"1,400,000",0.0,1.0,1.0
3 BEDROOM FLAT & APARTMENT FOR RENT,"Ilasan, Salem Bustop, Lekki Lagos Lekki Expressway Lekki Lagos",Newly Built 3 Bedroom Flat,"3,800,000",3.0,3.0,4.0
1 BEDROOM MINI FLAT FOR RENT,Mulero By Iyana Ipaja Mulero Agege Lagos,New Luxury Miniflat,"500,000",1.0,1.0,1.0
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun","Beautifully Built Luxury 3 Bedroom Apartments With Maid's Room, Inverter & 275kva Generator","1,800,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,"Divine Homes, Thomas Estate. Thomas Estate Ajah Lagos",Neatly Renovated 2bedroom Flat.,"1,250,000",2.0,2.0,3.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Luxury 4 Bedroom Flat,"15,000,000",4.0,4.0,5.0
1 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,1 Bedroom Flat,"4,000,000",1.0,1.0,2.0
1 BEDROOM FLAT & APARTMENT FOR RENT,Ikeja Lagos,Executive Mini Flat,"800,000",1.0,0.0,0.0
SHARED APARTMENT FOR RENT,White Oak Estate Haris Drive Vgc Lekki Lagos Victoria Garden City Lekki Lagos,Very Spacious Semi Masters Bedroom In A Newly Built Shared Apartment,"1,000,000",,1.0,1.0
1 BEDROOM MINI FLAT FOR RENT,"Lekki Palm City Estate, Ajah. Ajah Ajah Lagos",Tastefully Built One Bedroom Flat With Open Kitchen,"1,700,000",1.0,2.0,2.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"Behind Prime Waters, Elegushi Lekki Lagos",Lovely 2 Bedroom Flat,"2,600,000",2.0,2.0,3.0
SHARED APARTMENT FOR RENT,"Grace Court,orchid Road,eleganza Bustop Lekki Phase 2 Lekki Lagos",Master Bedroom In A Shared Apartment,"1,400,000",0.0,1.0,1.0
FLAT & APARTMENT FOR RENT,"Osapa London, Lekki Lagos Lekki Lagos",Studio Apartment Available In Osapa,"1,800,000",0.0,1.0,1.0
5 BEDROOM DUPLEX For Sale,Royal Garden Estate Ajah Lagos,"Luxury 5 Bedrooms Detached Duplex With Cinema, Pool &bq","140,000,000",4.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,5 Bedroom Fully Detached Duplex With A Room Bq,"12,000,000",5.0,5.0,6.0
4 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,Luxury 4 Bedroom Flat,"15,000,000",4.0,4.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"3 Bedroom Flat With Bq,pool,gym","8,000,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"2 Bedroom Flat With Bq,pool,gym","8,000,000",2.0,2.0,3.0
4 BEDROOM TERRACE FOR RENT,Ikota Lekki Lagos,4 Bedroom Terrace Duplex,"4,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,4 Bedroom Maisonette With Bq For Rent,"10,000,000",4.0,4.0,5.0
4 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,Luxury 4 Bedroom Flat,"15,000,000",4.0,4.0,5.0
1 BEDROOM FLAT & APARTMENT FOR RENT,Oral Ikota Lekki Lagos,Spacious 1 Bedroom Flat,"1,500,000",1.0,1.0,2.0
2 BEDROOM MINI FLAT FOR RENT,Fadhanu Street Ogombo Eti Osa Ogombo Ajah Lagos,Standard Two Bedrooụ Flat,"800,000",2.0,3.0,3.0
FLAT & APARTMENT FOR RENT,Ibadan Oyo,Tastefully Built 4 Bedrooms Duplex,"5,000,000",0.0,0.0,0.0
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,4 Bedroom Fully Detached Duplex With A Room Bq .,"4,500,000",4.0,4.0,5.0
4 BEDROOM TERRACE For Rent,Banana Island Estate Banana Island Ikoyi Lagos,Luxury 4 Bedroom Terrace House +2 Rooms Bq+tennis Etc,"1,800,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Ajah Ajah Lagos,4 Bedroom Fully Detached Duplex With Swimming Pool,"5,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,"Ilasan, Lekki Lagos Lekki Expressway Lekki Lagos",Tastefully Built 4 Bedroom Terrace Duplex With Bq,"140,000,000",4.0,4.0,5.0
4 BEDROOM HOUSE FOR RENT,New Bodija Estate Ibadan Oyo,Lovely Detached 4 Bedroom Bungalow,"3,500,000",4.0,5.0,5.0
1 BEDROOM COMMERCIAL PROPERTY FOR RENT,Akobo Road Close To Foodco Ibadan Oyo,Big Open Plan Office Space,"700,000",1.0,1.0,1.0
4 BEDROOM FLAT & APARTMENT FOR RENT,"Ojora Road, Ikoyi Ikoyi Ikoyi Lagos",4 Bedrooms Apartment All En Suite,"15,000,000",4.0,4.0,
4 BEDROOM DUPLEX FOR RENT,Oral Estate Lekki Lagos,4 Bedroom Semi Detached Duplex,"4,500,000,000",4.0,4.0,5.0
5 BEDROOM HOUSE FOR RENT,Oluyole Estate Ibadan Oyo,Tasteful 4 Bedroom Duplex,"3,200,000",5.0,5.0,5.0
4 BEDROOM HOUSE FOR RENT,Ikoyi Lagos,Well Built 4 Bedroom Semi Detached Duplex With Bq,"18,000,000",4.0,0.0,0.0
3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,Standard 3 Bedroom Flat,"28,000,000",3.0,4.0,4.0
4 BEDROOM DUPLEX For Sale,Magodo Phase 2 Ikeja Lagos,2 Units Of 4 Bedrooms Fully Detached Duplex,"10,000,000",,,
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,"2 Bedroom Flat With Bq,pool,gym","8,000,000",2.0,2.0,3.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Casino Heights Alagomeji Yaba Alagomeji Yaba Lagos,Lovely & Standard 3bedroom Flat With A Room Bq In Casino Heights,"3,500,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,Lekki Phase1 Lagos Lekki Phase 1 Lekki Lagos,4 Bedroom Duplex With 2 Rooms Bq,"10,000,000",4.0,7.0,8.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,2 Bedroom Flat,"5,000,000",2.0,2.0,3.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,3 Bedroom Flat,"5,000,000",3.0,3.0,4.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"Behind Blenco Supermarket, Sangotedo. Sangotedo Lagos",Brand New 2bedroom Flat.,"1,800,000",2.0,3.0,3.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Ayorinde Close Off Onike Iwaya Road Onike Yaba Lagos,Massive 3bedroom Flat In A Serene & Secured Neighborhood 2t/2b,"1,800,000",3.0,2.0,2.0
COMMERCIAL PROPERTY FOR RENT,"Shop/office On Freedom Way, Lekki Phase One Lekki Phase 1 Lekki Lagos","55m2 And 80m2 Lettable Space At Lekki Phase One N50,000/m2","50,000",,,
4 BEDROOM TERRACE FOR RENT,Ikota Lekki Lagos,4 Bedroom Terrace Duplex,"4,500,000",4.0,4.0,5.0
6 BEDROOM DUPLEX FOR RENT,Ikot Akpan Abia Uyo Uyo Akwa Ibom,Tastefully Furnished 6 Bedroom Duplex,"4,500,000",6.0,6.0,7.0
4 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,Lovely Waterfront 4 Bedroom Maisonette,"40,000,000",4.0,5.0,5.0
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun","Beautifully Built Luxury 3 Bedroom Apartments With Maid's Room, Inverter & 275kva Generator","1,800,000",4.0,4.0,5.0
2 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,Exquisitely Built 2bedroom Ocean View Furnished Apartment,"14,000,000",2.0,3.0,3.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Osongama Estate Uyo Uyo Akwa Ibom,Block Of Flats And Duplex With Swimming Pool,"25,000,000",2.0,2.0,3.0
5 BEDROOM HOUSE FOR RENT,Lekki Phase1 Lekki Lagos Lekki Phase 1 Lekki Lagos,5 Bedroom Semi Duplex With A Room And Parlor Bq,"10,000,000",5.0,7.0,8.0
10 BEDROOM COMMERCIAL PROPERTY FOR RENT,Old Bodija Estate Ibadan Oyo,Luxury Commercial Property,"10,000,000",10.0,10.0,0.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lagos Homes By Shoprite Sangotedo Ajah Lagos,2 No. 2 Bedroom Luxury Flats @ Lagos Homes Sangotedo 2 Million Each,"2,000,000",2.0,2.0,3.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"Eko Atlantic City, Victoria Island (vi), Lagos Victoria Island Victoria Island Lagos",2 Bedroom Apartment,"55,000",2.0,,
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,4 Bedroom Semi Detached Duplex With A Room Bq.,"4,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Lekki Lagos,4 Bedroom Maisonette With Bq,"10,000,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,"2 Bedroom Flat With Bq,pool,gym","8,000,000",2.0,2.0,3.0
LAND For Sale,Invest At Wealthy Place Along Free Trade Zone Ibeju Lekki Lagos,5mins To The Dangote Refinery,"1,800,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,"3 Bedroom Flat With Bq,pool,gym","8,000,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Oral Estate Ikota Lekki Lagos,5 Bedroom Fully Detached Duplex With Bq,"6,000,000",5.0,5.0,6.0
4 BEDROOM DUPLEX FOR RENT,Oral 2 Ikota Lekki Lagos,4 Bedroom Semi Detached Duplex,"4,500,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Oral Estate Lekki Lagos,4 Bedroom Semi Detached Duplex With A Room Bq,"4,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,4 Bedroom Semi Detached Duplex With A Room Bq.,"4,000,000",4.0,4.0,5.0
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,4 Bedroom Semi Detached Duplex.,"4,500,000",4.0,4.0,5.0
6 BEDROOM OFFICE FOR RENT,Jericho Gra Road Ibadan Oyo,Nice Commercial Office Building,"6,000,000",6.0,6.0,6.0
7 BEDROOM COMMERCIAL PROPERTY FOR RENT,New Bodija Estate Ibadan Oyo,Lovely 5 Bedroom Duplex With 2 Bedroom Bungalow,"2,500,000",7.0,0.0,0.0
10 BEDROOM HOTEL FOR RENT,Parkview Estate Parkview Estate Ikoyi Lagos,For Lease: 30 Rooms Hotel @ Parkview Estate Ikoyi 50 Million Per Annum,"50,000,000",10.0,10.0,10.0
4 BEDROOM HOUSE FOR RENT,Ikoyi Ikoyi Lagos,Lovely 4bedroom Terrace Duplex With Bq,"18,000,000",4.0,0.0,0.0
3 BEDROOM HOUSE FOR RENT,Ikoyi Lagos,Superb 3 Bedroom Apartment,"13,000,000",3.0,0.0,0.0
OFFICE For Rent,42 Saka Tinubu Street Victoria Island Lagos,Tastefully Furnished Office Space,"4,000,000",,,
2 BEDROOM HOUSE FOR RENT,Estate Meiran Abule Egba Agege Lagos,Modern 2bedroom Apartment,"800,000",2.0,0.0,0.0
4 BEDROOM DUPLEX FOR RENT,"Atlantic View Estate, General Paint. Abraham Adesanya Ajah Lagos",Tastefully Brand New 4bedroom Detached Duplex With A Bq,"3,800,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Castle Rock Road, Osapa London Lekki Lagos Osapa Lekki Lagos",Well Serviced 3 Bedroom Flat,"4,000,000",3.0,3.0,4.0
2 BEDROOM HOUSE FOR RENT,Toyin Balogun Close To Fagba Ogba Agege Lagos,Fresh 2 Bedroom Apartment,"1,000,000",2.0,0.0,0.0
4 BEDROOM HOUSE FOR RENT,Ikoyi Ikoyi Lagos,Exclusive 4bedroom Terrace Duplex With Bq,"18,000,000",4.0,0.0,0.0
2 BEDROOM HOUSE FOR RENT,Akowonjo Agege Lagos,Clean 2 Bedroom Flat,"1,200,000",2.0,0.0,0.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Victoria Bay Estate, Orchid Road Ikota Lekki Lagos",New Maisonnette Duplex With Bq,"4,500,000",3.0,3.0,4.0
LAND FOR RENT,Alagemo Igbe Ikorodu Ikorodu Lagos,"Fish Pond With Office/store For Lease On 3 Plots At Alagemo Igbe, Ikorodu. 500k Per Annum","500,000",0.0,0.0,0.0
4 BEDROOM HOUSE FOR RENT,"Chevron Alternative Road, Chevron Lekki Lagos Lekki Lagos",A 4bedroom Semi Detached Duplex With A Room Bq,"5,500,000",4.0,5.0,6.0
4 BEDROOM DUPLEX For Sale,Ikate Elegushi Lekki Lagos,Tastefully Finished 4 Bedroom Semi Detached Duplex,"22,000,000",4.0,4.0,5.0
FLAT & APARTMENT FOR RENT,"Grace Court, Orchid Road Eleganza Bustop Lekki Lagos Lekki Phase 2 Lekki Lagos",A Studio Apartment Available In Grace Court,"1,400,000",0.0,1.0,1.0
SHARED APARTMENT FOR RENT,"Roxbury Estate Ikota Vgc, Lekki Lagos Lekki Lagos",A Room In A Shared Apartment In A Serviced Mini Estate,"800,000",0.0,1.0,1.0
4 BEDROOM HOUSE FOR RENT,"Elegushi, Ikate Lekki Lagos Lekki Lagos",A Newly Built 5 Bedroom Terrace In A Serviced Court,"5,000,000",4.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,Oral Estate Ikota Lekki Lagos,5 Bedroom Fully Detached Duplex With Bq,"6,000,000",5.0,5.0,6.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Chevron Toll Gate Chevron Drive Lekki Lagos,Nicely Built 2 Bedroom Apartment,"2,700,000",2.0,3.0,3.0
1 BEDROOM SELF CONTAIN FOR RENT,"Canalily Place, Meadow Hall Way. Ikate Elegushi Lekki Lagos","Studio Apartment At Canalily Place Lekki, Lagos","3,500,000",1.0,1.0,1.0
4 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,4 Bedroom Terrace Duplex,"4,000,000",4.0,4.0,5.0
1 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,1 Bedroom Flat,"5,000,000",1.0,1.0,2.0
4 BEDROOM DUPLEX FOR RENT,Road 32 Ikota Villa Estate. Ikota Lekki Lagos,Tastefully Finish 4bedroom Semi Detached With A Bq,"4,300,000",4.0,4.0,5.0
5 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,Exquisite 5 Bedroom Semi Detached Duplex,"30,000,000",5.0,0.0,0.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Hopeville Estate Ajah Ajah Lagos,Brand New Standard 2bedroom Apartment,"2,000,000",2.0,3.0,3.0
1 BEDROOM MINI FLAT For Rent,65 Agungi Ajiran Road Agungi Lekki Lagos,Monthly Rental 1 Bedroom Flat,"1,800,000",4.0,4.0,5.0
5 BEDROOM DUPLEX FOR RENT,"Northern Foreshore Estate, Chevron. Chevron Drive Lekki Lagos",Luxury 5bedroom Detached Duplex With A Bq In A Secured Estate.,"15,000,000",5.0,6.0,6.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Ologolo Lekki Lagos,Tastefully 2 Bedrooms,"2,000,000",2.0,2.0,3.0
3 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,Exclusive 3 Bedroom Flat With Bq,"14,500,000",3.0,0.0,0.0
3 BEDROOM HOUSE FOR RENT,Agege Lagos,Exclusive 3 Bedroom Flat,"1,500,000",3.0,0.0,0.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,3 Bedroom Flat,"5,000,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,"Lekki Palm City Estate, Ajah. Ajah Ajah Lagos",Tastefully Built 5bedroom Detached Duplex With A Bq,"5,000,000",5.0,6.0,6.0
SHARED APARTMENT FOR RENT,Roxbury Estate Opposite Vgc Ikota Lekki Lagos Ikota Lekki Lagos,Big Semi Master Bedroom In Roxbury Estate,"900,000",,1.0,1.0
2 BEDROOM HOUSE FOR RENT,Meiran Close To Abule Egba Abule Egba Agege Lagos,Standard 2bedroom Flat,"700,000",2.0,0.0,0.0
FLAT & APARTMENT FOR RENT,Elewe Ibadan Oyo,Well Structured 4 Flats Of 2 Bedrooms,"700,000",0.0,0.0,0.0
4 BEDROOM BLOCK OF FLATS For Rent,"Channel's Tv Road, Wisdom Estate. Opic Lagos Extension Ogun",Brand New 3 Bedroom Serviced Apartments With Maid's Room,"1,800,000",4.0,4.0,5.0
2 BEDROOM BLOCK OF FLATS FOR RENT,Osapa London Lekki Lagos Osapa Lekki Lagos,Neatly Furnished 2 Bedroom Flat,"3,200,000",2.0,2.0,2.0
SHARED APARTMENT FOR RENT,"Golden Palm Estate Ben Flo,orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos",Room Downstairs In A Shared Apartment,"800,000",0.0,1.0,1.0
1 BEDROOM FLAT & APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,1 Bedroom Flat,"5,000,000",1.0,1.0,2.0
FLAT & APARTMENT FOR RENT,Orchid Road Lekki Phase 2 Lekki Lagos,Studio Apartment,"1,400,000",0.0,1.0,1.0
2 BEDROOM TERRACE FOR RENT,Haris Drive Vgc Lekki Lagos Victoria Garden City Lekki Lagos,Newly Built 2 Bedroom Terrace Duplex In A Newly Built Fully Serviced Estate,"3,000,000",2.0,2.0,3.0
1 BEDROOM FLAT & APARTMENT FOR RENT,"White Oak Estate, Haris Drive Vgc Lekki Lagos Victoria Garden City Lekki Lagos",Mini Flat,"2,000,000",1.0,1.0,1.0
10 BEDROOM FLAT & APARTMENT FOR RENT,New Bodija Estate Ibadan Oyo,Neatly Furnished Luxury Block Of 4 Flats,"10,000,000",10.0,10.0,10.0
4 BEDROOM HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,4 Bedroom Maisonette With Bq,"10,000,000",4.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,"3 Bedroom Flat With Bq,pool,gym","8,000,000",3.0,3.0,4.0
4 BEDROOM DUPLEX FOR RENT,Orchid Ikota Lekki Lagos,4 Bedroom Terrace Duplex,"4,000,000",4.0,4.0,5.0
3 BEDROOM HOUSE FOR RENT,Ikate Elegushi Lekki Lagos,3 Bedroom Terrace Duplex,"4,500,000",3.0,4.0,5.0
3 BEDROOM BLOCK OF FLATS For Rent,Opic Lagos Extension Ogun,Tastefully Built 12 Units Of 3 Bedroom Apartments + Maid Room,"3,500,000",3.0,3.0,3.0
1 BEDROOM FLAT & APARTMENT FOR RENT,Michael Adegbite Street Lekki Lagos Lekki Phase 1 Lekki Lagos,Mini Flat Available,"2,500,000",1.0,1.0,1.0
4 BEDROOM HOUSE FOR RENT,Northern Forshore Estate Lekki Lagos,Newly Built 4 Bedroom Massionette With A Room Bq,"6,000,000",4.0,4.0,5.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"Gbanbala Street, Ikate. Ikate Elegushi Lekki Lagos",Tastefully Built 2bedroom Flat In A Block Of Flats.,"4,000,000",2.0,2.0,3.0
SHARED APARTMENT FOR RENT,White Oak Estate Haris Drive Vgc Lekki Lagos Victoria Garden City Lekki Lagos,Very Spacious Master Bedroom With Space For Parlor,"1,600,000",,1.0,1.0
4 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,Luxury 4 Bedroom Penthouse,"30,000,000",4.0,5.0,5.0
5 BEDROOM DUPLEX FOR RENT,Ikota Lekki Lagos,5 Bedroom Fully Detached Duplex With Bq,"6,000,000",5.0,5.0,6.0
OFFICE FOR RENT,By 3rd Roundabout Lekki Expressway Lekki Lagos,"16 Sqm,25 Sqm & 35 Sqm Office Space","3,500,000",,,
6 BEDROOM HOUSE FOR RENT,Osongama Estate Uyo Uyo Akwa Ibom,6 Bedroom Detached House,"3,000,000",6.0,6.0,6.0
3 BEDROOM HOUSE FOR RENT,Dopemu By Akowonjo Akowonjo Agege Lagos,Neatly Renovated 3bedroom Apartment,"1,300,000",3.0,0.0,0.0
5 BEDROOM DUPLEX For Sale,Chevron Lekki Lagos,Well Finished 5 Bedroom Duplex With 2bq,"3,500,000",3.0,3.0,3.0
3 BEDROOM HOUSE FOR RENT,Banana Island Ikoyi Lagos,Decent 3 Bedroom Flat With Bq,"28,000,000",3.0,0.0,0.0
4 BEDROOM HOUSE FOR RENT,Ikoyi Lagos,Pleasant 4 Bedroom Massionette,"15,000,000",4.0,0.0,0.0
4 BEDROOM HOUSE FOR RENT,Banana Island Road Ikoyi Lagos,Elegant 4 Bedroom Terrace Duplex,"17,000,000",4.0,0.0,0.0
2 BEDROOM FLAT & APARTMENT FOR RENT,"6 Elsie Femi Pearse St, Victoria Island, Lagos Victoria Island Victoria Island Lagos",2 Bedroom Apartment,"52,000",2.0,2.0,3.0
3 BEDROOM HOUSE FOR RENT,Victoria Island Lagos,Lovely 3 Bedroom Apartment With Bq,"7,500,000",3.0,0.0,0.0
5 BEDROOM DUPLEX FOR RENT,Ajah Ajah Lagos,5bedroom Fully Detached Duplex With A Pool,"5,000,000",5.0,5.0,6.0
5 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,5 Bedroom Fully Detached Duplex With A Room Bq,"12,000,000",5.0,5.0,6.0
3 BEDROOM BLOCK OF FLATS FOR RENT,"Canalily Place, Meadow Hall Way. Ikate Elegushi Lekki Lagos",3 Bedroom Apartment,"7,000,000",3.0,3.0,4.0
6 BEDROOM OFFICE FOR RENT,Edet Akpan Avenue Uyo Uyo Akwa Ibom,6 Bedroom Detached House,"5,000,000",6.0,5.0,6.0
SHARED APARTMENT FOR RENT,Grace Court Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos,Shared Apartment,"800,000",0.0,1.0,1.0
2 BEDROOM FLAT & APARTMENT FOR RENT,Thomas Estate Ajah Lagos,Excellent Apartment,"2,400,000",2.0,2.0,3.0
3 BEDROOM FLAT & APARTMENT For Rent,Oregun Ikeja Lagos,3 Bedroom Flats Plus Bq,"15,000,000",3.0,3.0,4.0
1 BEDROOM BLOCK OF FLATS FOR RENT,Lekki Phase 1 Lekki Lagos,1 Bedroom Flat,"5,000,000",1.0,1.0,2.0
4 BEDROOM HOUSE FOR RENT,Ikoyi Lagos,Tastefully Built 4 Bedroom Semi Detached Duplex,"20,000,000",4.0,0.0,0.0
3 BEDROOM HOUSE FOR RENT,"Oladimeji Alo Str, Lekki Lagos Lekki Phase 1 Lekki Lagos",Newly Built Service 3 Bedroom Terrace Duplex,"5,500,000",3.0,3.0,4.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Ikolaba Estate Ibadan Oyo,Lovely 3 Bedroom Apartment,"800,000",3.0,3.0,4.0
5 BEDROOM DUPLEX FOR RENT,Ikate Elegushi Lekki Lagos,5 Bedroom Fully Detached Duplex With A Room Bq,"12,000,000",5.0,5.0,6.0
2 BEDROOM HOUSE FOR RENT,Mongoro Ikeja Lagos,Spacious 2bedroom Apartment,"2,000,000",2.0,0.0,0.0
3 BEDROOM BLOCK OF FLATS FOR RENT,Alagomeji Yaba Lagos,Brand New Luxury 3bedroom Flat All Rooms Ensuite + 1rm Bq,"4,000,000",3.0,3.0,4.0
4 BEDROOM HOUSE FOR RENT,"Mobil Road, Ilaje Ajah Lagos Ajah Lagos",4 Bedroom Terrace Duplex,"2,800,000",4.0,4.0,5.0
2 BEDROOM HOUSE FOR RENT,Ekoro Abule Egba Abule Egba Agege Lagos,Luxury 2bedroom Flat,"800,000",2.0,0.0,0.0
5 BEDROOM DUPLEX For Sale,Osapa Lekki Lagos,Tastefully Finished 5 Bedroom Fully Detached Duplex For Sale At Osapa Lekki Lagos,"800,000",2.0,3.0,3.0
1 BEDROOM SELF CONTAIN FOR RENT,"New Bodija Estate, Ibadan Oyo",Decent Room Self Contained,"200,000",1.0,0.0,0.0
5 BEDROOM DUPLEX FOR RENT,Ikeja Gra Ikeja Gra Ikeja Lagos,5 Bedrooms Detached House With Pool In Ikeja Gra Lagos,"12,000,000",5.0,5.0,6.0
6 BEDROOM DUPLEX FOR RENT,Banana Island Ikoyi Lagos,6 Bedroom Detached Duplex,150,6.0,6.0,7.0
8 BEDROOM DUPLEX FOR RENT,Lekki Phase 1 Off Admiralty Way Lekki Phase 1 Lekki Lagos,"8 Bedrooms Office Space At Lekki Phase 1, Lagos","25,000,000",8.0,6.0,6.0
4 BEDROOM TERRACE FOR RENT,Lagos Lekki Phase 1 Lekki Lagos,4 Bedroom Terrace Duplex With Bq,"8,000,000",4.0,5.0,5.0
3 BEDROOM FLAT & APARTMENT FOR RENT,Lagos Lekki Phase 1 Lekki Lagos,Luxury 3 Bedroom Apartment,"14,000,000",3.0,3.0,3.0
3 BEDROOM TERRACE FOR RENT,Lekki Phase 1 Lekki Lagos,3 Bedroom Terrace Duplex,"6,000,000",3.0,3.0,4.0
4 BEDROOM TERRACE FOR RENT,Emcel Terraces Ikate Elegushi Lekki Ikate Elegushi Lekki Lagos,4 Bedroom Missonette+bq Emcel Terraces,"90,000,000",4.0,4.0,5.0
10 BEDROOM DUPLEX FOR RENT,Off Admiralty Way Tantalizer Lekki Phase 1 Lekki Lagos,4 Units Of 4 Bedroom Semi Detached Duplex With 4 Bq's Plus 2 Bedroom Bungalow For Rent Ideal For Hotel And Guest House,"45,000,000",10.0,10.0,10.0
10 BEDROOM DUPLEX FOR RENT,Off Admiralty Way Off Tantalizer Lekki Phase1 Lekki Phase 1 Lekki Lagos,For Hotel And Guest House Huge Commercial Property With 23 Rooms For Rent Lekki Phase1 Lagos,"45,000,000",10.0,10.0,10.0
